trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
2354845,6/30/2014 20:36,6/30/2014 20:48,2083,679,212,Wells St & Hubbard St,301,Clark St & Schiller St,Subscriber,Male,1993
2354844,6/30/2014 20:35,6/30/2014 20:39,1274,244,99,Lake Shore Dr & Ohio St,199,Wabash Ave & Grand Ave,Subscriber,Male,1987
2354842,6/30/2014 20:34,6/30/2014 20:42,2094,484,300,Broadway & Barry Ave,312,Clarendon Ave & Gordon Ter,Subscriber,Male,1985
2354841,6/30/2014 20:34,6/30/2014 20:43,2604,540,113,Bissell St & Armitage Ave,115,Sheffield Ave & Wellington Ave,Subscriber,Female,1986
2354840,6/30/2014 20:33,6/30/2014 20:46,304,768,81,Daley Center Plaza,134,Peoria St & Jackson Blvd,Subscriber,Female,1977
2354831,6/30/2014 20:31,6/30/2014 20:37,893,365,100,Orleans St & Merchandise Mart Plaza,23,Orleans St & Elm St,Subscriber,Male,1988
2354828,6/30/2014 20:31,6/30/2014 20:39,1437,533,342,Wolcott Ave & Polk St,19,Loomis St & Taylor St,Subscriber,Male,1979
2354826,6/30/2014 20:31,6/30/2014 20:33,3003,154,59,Wabash Ave & Roosevelt Rd,168,Michigan Ave & 14th St,Subscriber,Male,1987
2354825,6/30/2014 20:26,6/30/2014 20:43,361,1008,36,Franklin St & Jackson Blvd,283,LaSalle St & Jackson Blvd,Subscriber,Male,1971
2354823,6/30/2014 20:30,6/30/2014 20:40,1441,607,132,Wentworth Ave & 24th St,62,McCormick Place,Customer,,
2354822,6/30/2014 20:29,6/30/2014 20:34,357,314,321,Wabash Ave & 8th St,59,Wabash Ave & Roosevelt Rd,Subscriber,Male,1990
2354821,6/30/2014 20:29,6/30/2014 20:40,2030,641,132,Wentworth Ave & 24th St,62,McCormick Place,Customer,,
2354820,6/30/2014 20:29,6/30/2014 20:49,2369,1237,126,Clark St & North Ave,296,Broadway & Belmont Ave,Subscriber,Female,1976
2354819,6/30/2014 20:29,6/30/2014 20:38,4,536,349,Halsted St & Wrightwood Ave,225,Halsted St & Dickens Ave,Subscriber,Male,1993
2354809,6/30/2014 20:28,6/30/2014 20:41,1553,775,22,May St & Taylor St,22,May St & Taylor St,Customer,,
2354808,6/30/2014 20:27,6/30/2014 20:29,2168,110,17,Wood St & Division St,130,Damen Ave & Division St,Subscriber,Male,1979
2354807,6/30/2014 20:27,6/30/2014 20:34,1196,428,91,Clinton St & Washington Blvd,50,Clark St & Congress Pkwy,Subscriber,Male,1970
2354801,6/30/2014 20:26,6/30/2014 20:43,2149,1035,36,Franklin St & Jackson Blvd,283,LaSalle St & Jackson Blvd,Subscriber,Male,1977
2354798,6/30/2014 20:26,6/30/2014 20:42,1957,976,331,Halsted St & Blackhawk St,276,California Ave & North Ave,Subscriber,Male,1980
2354797,6/30/2014 20:26,6/30/2014 20:35,736,581,256,Broadway & Sheridan Rd,152,Lincoln Ave & Diversey Pkwy,Subscriber,Male,1982
2354793,6/30/2014 20:25,6/30/2014 20:27,1598,129,226,Racine Ave & Belmont Ave,154,Southport Ave & Belmont Ave,Subscriber,Male,1985
2354791,6/30/2014 20:24,6/30/2014 20:41,2360,997,198,Halsted St & Madison St,207,Emerald Ave & 28th St,Subscriber,Male,1986
2354787,6/30/2014 20:22,6/30/2014 20:28,450,350,197,Michigan Ave & Madison St,192,Canal St & Adams St,Subscriber,Male,1969
2354786,6/30/2014 20:21,6/30/2014 20:25,2189,272,153,Southport Ave & Wellington Ave,229,Southport Ave & Roscoe St,Subscriber,Male,1989
